1 inguid1: Waypoint/line guidance against GPS target coordinates ' Missile ' May 17 2021 03:43:47
  0  0 40
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
0               -1.49407        0               -9.45654        37573.5         
0.772811        45.0004         35              1000.23         259.958         
90.0005         0.998734        -5.63597e-05    12.997          -0.22672        
-0.00225439     259.919         -4.53115        5               135.5           
201.833         5.44385         0               0               0.965825        
0               0.107658        -3.5            -118.524        -3.5            
0.0751593       0.931396        0.00187898      3               -1              
0               4.53115         2000            21532.6         0               
0.5             -1.53704        -10.6912        -10.4595        37338.5         
0.770486        45.0018         35              1002.23         259.129         
89.478          0.863171        0.352105        142.75          -2.23185        
2.36057         259.089         -3.90368        5               135.499         
202.544         8.3974          0               0               1.52839         
0               2.31986         -48.2093        -74.9261        -48.2093        
0.0998053       0.935913        0.0404892       3               -1              
-1.08909        3.90368         2000            21450.6         0               
1               -1.89753        -17.8502        -12.1478        37074.3         
0.76785         45.0032         35              1004.3          258.22          
87.825          0.999175        3.24681         272.041         -4.3007         
9.79823         257.994         -4.50284        5               135.499         
203.35          10.0769         0               0               2.20723         
0               3.64413         -55.4273        -51.8929        -55.4273        
0.100454        0.94016         0.063602        3               -1              
-1.81836        4.50284         2000            21367.3         0               
1.5             -2.23991        -19.4488        -16.1497        36754.9         
0.764657        45.0046         35.0001         1007.01         257.118         
85.7269         1.48794         10.4555         400.645         -7.01237        
19.1514         256.316         -6.67644        5               135.498         
204.326         10.1676         0               0               2.58509         
0               4.40704         -49.69          -44.3107        -49.69          
0.100208        0.945086        0.0769173       3               -1              
-1.98121        6.67644         2000            21281.6         0               
2               -2.46646        -19.2905        -19.2401        36376.5         
0.760899        45.006          35.0002         1011.28         255.823         
83.5593         2.38894         22.4198         528.248         -11.2847        
28.672          253.987         -10.6634        5               135.498         
205.471         10.0376         0               0               2.78672         
0               4.84626         -44.6675        -41.1059        -44.6675        
0.0998888       0.951064        0.0845833       3               -1              
-1.96508        10.6634         2000            21193.2         0               
2.5             -2.59646        -18.8477        -21.0338        35943.1         
0.756642        45.0074         35.0004         1017.87         254.356         
81.4186         3.56699         39.0732         654.526         -17.8716        
37.88           251.021         -15.8249        5               135.497         
206.762         9.92395         0               0               2.88916         
0               5.10731         -41.634         -39.6488        -41.634         
0.0997831       0.958107        0.0891394       3               -1              
-1.91998        15.8249         2000            21102.3         0               
3               -2.66543        -18.5074        -21.9575        35459.5         
0.751948        45.0088         35.0005         1027.21         252.736         
79.3071         4.9029          60.2382         779.166         -27.2112        
46.7222         247.439         -21.6007        5               135.497         
208.176         9.84589         0               0               2.93791         
0               5.27585         -40.009         -38.9912        -40.009         
0.0999563       0.966204        0.092081        3               -1              
-1.88532        21.6007         2000            21009.2         0               
3.5             -2.70062        -18.3           -22.3919        34929.8         
0.746855        45.0101         35.0008         1039.52         250.974         
77.2077         6.3243          85.7398         901.864         -39.5166        
55.2319         243.256         -27.6463        5               135.496         
209.701         9.79072         0               0               2.95872         
0               5.40071         -39.2015        -38.717         -39.2015        
0.100392        0.975352        0.0942601       3               -1              
-1.8642         27.6463         2000            20914.2         0               
4               -2.71895        -18.1847        -22.5712        34357.1         
0.741383        45.0114         35.001          1054.87         249.078         
75.1048         7.79253         115.419         1022.32         -54.8704        
63.4345         238.485         -33.7716        5               135.495         
211.327         9.74623         0               0               2.96566         
0               5.50896         -38.8329        -38.6265        -38.8329        
0.101055        0.985568        0.0961495       3               -1              
-1.85247        33.7716         2000            20817.5         0               
4.5             -2.68359        -17.9326        -22.3657        33743.9         
0.735546        45.0127         35.0013         1073.28         247.052         
72.9906         9.28456         149.123         1140.25         -73.2835        
71.3231         233.15          -39.8588        5               135.495         
213.049         9.74838         0               0               2.93307         
0               5.50038         -38.7464        -39.0555        -38.7464        
0.085008        0.996883        0.0959997       2.60677         -1              
-1.82679        39.8588         2000            20719.5         0               
5               -2.29988        -16.5963        -19.6689        33115.9         
0.729603        45.014          35.0017         1094.61         245             
70.9469         10.637          186.638         1255.44         -94.6111        
78.6047         227.599         -45.2234        5               135.494         
214.784         10.0568         0               0               2.63211         
0               4.86745         -40.4758        -43.5195        -40.4758        
0.056437        1.00897         0.0849531       1.95429         -1              
-1.69068        45.2234         2000            20620.3         0               
5.5             -1.86044        -15.3362        -15.3897        32514.5         
0.723977        45.0152         35.002          1118.2          243.056         
69.0435         11.576          227.605         1367.91         -118.198        
85.1629         222.362         -48.7735        5               135.494         
