0	1	2
0.1	4.50371	9.96248
0.2	22.1077	49.8536
0.3	110.336	249.679
0.4	552.328	1250.64
0.5	2766.37	6264.58
0.6	13856.8	31380.1
0.7	69410.5	157187
0.8	347687	787373
0.9	1.74161e+06	3.94406e+06
1	8.72397e+06	1.97564e+07
1.1	4.36996e+07	9.89623e+07
1.2	2.18897e+08	4.95716e+08
1.3	1.09649e+09	2.48311e+09
1.4	5.49246e+09	1.24383e+10
1.5	2.75125e+10	6.23049e+10
1.6	1.37814e+11	3.12094e+11
1.7	6.90329e+11	1.56332e+12
1.8	3.45796e+12	7.8309e+12
1.9	1.73214e+13	3.92261e+13
2	8.67652e+13	1.96489e+14
2.1	4.34619e+14	9.84241e+14
2.2	2.17707e+15	4.9302e+15
2.3	1.09052e+16	2.46961e+16
2.4	5.46258e+16	1.23706e+17
2.5	2.73628e+17	6.19661e+17
2.6	1.37064e+18	3.10397e+18
2.7	6.86574e+18	1.55482e+19
2.8	3.43915e+19	7.78831e+19
2.9	1.72272e+20	3.90127e+20
3	8.62933e+20	1.9542e+21
3.1	4.32255e+21	9.78887e+21
3.2	2.16523e+22	4.90338e+22
3.3	1.08459e+23	2.45617e+23
3.4	5.43287e+23	1.23033e+24
3.5	2.7214e+24	6.1629e+24
3.6	1.36319e+25	3.08708e+25
3.7	6.8284e+25	1.54636e+26
3.8	3.42044e+26	7.74595e+26
3.9	1.71335e+27	3.88005e+27
4	8.58239e+27	1.94357e+28
4.1	4.29904e+28	9.73563e+28
4.2	2.15345e+29	4.87671e+29
4.3	1.07869e+30	2.44281e+30
4.4	5.40332e+30	1.22364e+31
4.5	2.7066e+31	6.12938e+31
4.6	1.35577e+32	3.07029e+32
4.7	6.79126e+32	1.53795e+33
4.8	3.40184e+33	7.70382e+33
4.9	1.70403e+34	3.85895e+34
5	8.53571e+34	1.933e+35
5.1	4.27566e+35	9.68268e+35
5.2	2.14174e+36	4.85019e+36
5.3	1.07283e+37	2.42953e+37
5.4	5.37393e+37	1.21698e+38
5.5	2.69188e+38	6.09604e+38
5.6	1.3484e+39	3.05359e+39
5.7	6.75432e+39	1.52959e+40
5.8	3.38333e+40	7.66191e+40
5.9	1.69476e+41	3.83796e+41
6	8.48928e+41	1.92249e+42
6.1	4.2524e+42	9.63001e+42
6.2	2.13009e+43	4.82381e+43
6.3	1.06699e+44	2.41631e+44
6.4	5.3447e+44	1.21036e+45
6.5	2.67724e+45	6.06288e+45
6.6	1.34106e+46	3.03698e+46
6.7	6.71758e+46	1.52127e+47
6.8	3.36493e+47	7.62024e+47
6.9	1.68554e+48	3.81708e+48
7	8.44311e+48	1.91203e+49
7.1	4.22927e+49	9.57763e+49
7.2	2.1185e+50	4.79757e+50
7.3	1.06119e+51	2.40317e+51
7.4	5.31563e+51	1.20378e+52
7.5	2.66267e+52	6.02991e+52
7.6	1.33377e+53	3.02046e+53
7.7	6.68104e+53	1.51299e+54
7.8	3.34663e+54	7.57879e+54
7.9	1.67637e+55	3.79632e+55
8	8.39718e+55	1.90163e+56
8.1	4.20627e+56	9.52554e+56
8.2	2.10698e+57	4.77147e+57
8.3	1.05541e+58	2.3901e+58
8.4	5.28672e+58	1.19723e+59
8.5	2.64819e+59	5.99711e+59
8.6	1.32652e+60	3.00404e+60
8.7	6.6447e+60	1.50476e+61
8.8	3.32843e+61	7.53757e+61
8.9	1.66725e+62	3.77567e+62
9	8.35151e+62	1.89129e+63
9.1	4.18339e+63	9.47372e+63
9.2	2.09552e+64	4.74552e+64
9.3	1.04967e+65	2.3771e+65
9.4	5.25796e+65	1.19072e+66
9.5	2.63379e+66	5.96449e+66
9.6	1.3193e+67	2.9877e+67
9.7	6.60856e+67	1.49658e+68
9.8	3.31032e+68	7.49657e+68
9.9	1.65819e+69	3.75514e+69
10	8.30609e+69	1.881e+70
