0	1	2	
0.01	1.10275	2.22601	
0.02	1.2112	2.46447	
0.03	1.32566	2.71607	
0.04	1.44647	2.98154	
0.05	1.57397	3.26165	
0.06	1.70854	3.55719	
0.07	1.85056	3.86902	
0.08	2.00045	4.19805	
0.09	2.15864	4.54522	
0.1	2.32559	4.91153	
0.11	2.50178	5.29804	
0.12	2.68772	5.70586	
0.13	2.88395	6.13618	
0.14	3.09104	6.59022	
0.15	3.30959	7.0693	
0.16	3.54022	7.57481	
0.17	3.78361	8.1082	
0.18	4.04046	8.67101	
0.19	4.31152	9.26487	
0.2	4.59756	9.89148	
0.21	4.89941	10.5527	
0.22	5.21795	11.2503	
0.23	5.5541	11.9864	
0.24	5.90882	12.7632	
0.25	6.28315	13.5828	
0.26	6.67817	14.4476	
0.27	7.09501	15.3602	
0.28	7.53489	16.323	
0.29	7.99907	17.339	
0.3	8.48889	18.4111	
0.31	9.00577	19.5423	
0.32	9.55121	20.736	
0.33	10.1268	21.9955	
0.34	10.7341	23.3244	
0.35	11.375	24.7268	
0.36	12.0513	26.2065	
0.37	12.765	27.7678	
0.38	13.5181	29.4153	
0.39	14.3127	31.1538	
0.4	15.1512	32.9881	
0.41	16.0361	34.9237	
0.42	16.9698	36.9661	
0.43	17.9551	39.1212	
0.44	18.9947	41.3952	
0.45	20.0918	43.7947	
0.46	21.2494	46.3267	
0.47	22.471	48.9983	
0.48	23.76	51.8174	
0.49	25.1202	54.7921	
0.5	26.5554	57.931	
0.51	28.0699	61.243	
0.52	29.668	64.7379	
0.53	31.3544	68.4256	
0.54	33.1338	72.3168	
0.55	35.0115	76.4228	
0.56	36.9928	80.7554	
0.57	39.0835	85.3271	
0.58	41.2896	90.1511	
0.59	43.6175	95.2413	
0.6	46.0739	100.612	
0.61	48.6659	106.28	
0.62	51.401	112.26	
0.63	54.2871	118.571	
0.64	57.3324	125.23	
0.65	60.5459	132.256	
0.66	63.9368	139.67	
0.67	67.5148	147.493	
0.68	71.2903	155.748	
0.69	75.2742	164.458	
0.7	79.4781	173.65	
0.71	83.9139	183.348	
0.72	88.5947	193.582	
0.73	93.5337	204.38	
0.74	98.7454	215.775	
0.75	104.245	227.798	
0.76	110.048	240.485	
0.77	116.171	253.873	
0.78	122.632	267.999	
0.79	129.45	282.904	
0.8	136.644	298.633	
0.81	144.235	315.229	
0.82	152.245	332.742	
0.83	160.698	351.22	
0.84	169.616	370.719	
0.85	179.028	391.294	
0.86	188.958	413.005	
0.87	199.437	435.914	
0.88	210.494	460.087	
0.89	222.161	485.594	
0.9	234.472	512.509	
0.91	247.463	540.91	
0.92	261.171	570.878	
0.93	275.635	602.5	
0.94	290.898	635.867	
0.95	307.003	671.076	
0.96	323.997	708.228	
0.97	341.929	747.431	
0.98	360.85	788.797	
0.99	380.816	832.446	
1	401.884	878.505	
1.01	424.115	927.105	
1.02	447.573	978.388	
1.03	472.325	1032.5	
1.04	498.444	1089.6	
1.05	526.004	1149.85	
1.06	555.085	1213.43	
1.07	585.771	1280.51	
1.08	618.151	1351.3	
1.09	652.319	1426	
1.1	688.372	1504.82	
1.11	726.414	1587.98	
1.12	766.557	1675.74	
1.13	808.915	1768.34	
1.14	853.611	1866.06	
1.15	900.773	1969.16	
1.16	950.539	2077.96	
1.17	1003.05	2192.76	
1.18	1058.46	2313.89	
1.19	1116.93	2441.72	
1.2	1178.63	2576.59	
1.21	1243.73	2718.91	
1.22	1312.42	2869.09	
1.23	1384.91	3027.56	
1.24	1461.39	3194.77	
1.25	1542.1	3371.21	
1.26	1627.27	3557.38	
1.27	1717.13	3753.84	
1.28	1811.95	3961.13	
1.29	1912.01	4179.87	
1.3	2017.58	4410.68	
1.31	2128.99	4654.23	
1.32	2246.54	4911.22	
1.33	2370.58	5182.39	
1.34	2501.47	5468.53	
1.35	2639.58	5770.46	
1.36	2785.32	6089.06	
1.37	2939.1	6425.24	
1.38	3101.36	6779.98	
1.39	3272.58	7154.29	
1.4	3453.26	7549.27	
1.41	3643.9	7966.04	
1.42	3845.06	8405.82	
1.43	4057.33	8869.86	
1.44	4281.31	9359.52	
1.45	4517.66	9876.21	
1.46	4767.05	10421.4	
1.47	5030.2	10996.7	
1.48	5307.88	11603.7	
1.49	5600.89	12244.3	
1.5	5910.06	12920.2	
1.51	6236.3	13633.4	
1.52	6580.55	14386	
1.53	6943.79	15180.1	
1.54	7327.08	16018	
1.55	7731.53	16902.2	
1.56	8158.3	17835.2	
1.57	8608.63	18819.6	
1.58	9083.8	19858.5	
1.59	9585.21	20954.6	
1.6	10114.3	22111.2	
1.61	10672.6	23331.7	
1.62	11261.7	24619.6	
1.63	11883.3	25978.5	
1.64	12539.2	27412.4	
1.65	13231.3	28925.5	
1.66	13961.6	30522	
1.67	14732.2	32206.7	
1.68	15545.4	33984.4	
1.69	16403.4	35860.2	
1.7	17308.8	37839.5	
1.71	18264.2	39928	
1.72	19272.3	42131.8	
1.73	20336	44457.3	
1.74	21458.4	46911.1	
1.75	22642.8	49500.3	
1.76	23892.6	52232.5	
1.77	25211.3	55115.4	
1.78	26602.8	58157.5	
1.79	28071.1	61367.4	
1.8	29620.5	64754.5	
1.81	31255.3	68328.6	
1.82	32980.4	72099.9	
1.83	34800.7	76079.3	
